Receipt Number,Menu Item,Quantity,Amount,Category,Void
1267,Bubble Tea - Matcha,1,3.5,Beverage,No
1267,Sundubu Jjigae,1,10,Food,No
1268,Kimchi Fried Rice,2,16.89,Food,No
1269,Green Tea,2,4,Beverage,No
1269,Kimchi Fried Rice,1,7,Food,No
1269,Mini Jeon,1,5,Appetizer,No
1270,Kimchi Jjigae,2,20,Food,No
1270,Bubble Tea - Matcha,1,3,Beverage,No
1271,Green Tea,2,4,Beverage,No
1271,Kimchi Jjigae,2,20,Food,No
1271,Mini Jeon,1,5,Appetizer,No
1272,Korean Fried Chicken,1,8,Appetizer,No
1272,Kimchi Fried Rice,2,14,Food,No
